CG,Республика Конго,true,NO
CR,Республика Коста-Рика,true,NO
CI,Республика Кот-д'Ивуар,true,NO
KP,Корейская Народно-Демократическая Республика,true,NO
CU,Республика Куба,true,NO
KW,Государство Кувейт,true,NO
KG,Кыргызская Республика,true,NO
PK,Исламская Республика Пакистан,true,NO
PW,Республика Палау,true,NO
PA,Республика Панама,true,NO
PG,Независимое государство Папуа – Новая Гвинея,true,NO
PY,Республика Парагвай,true,NO
PE,Республика Перу,true,NO
PL,Республика Польша,true,NO
PT,Португальская Республика,true,NO
TZ,Объединенная Республика Танзания,true,NO
AE,Объединенные Арабские Эмираты,true,NO
OM,Султанат Оман,true,NO
CK,Острова Кука,true,NO
IL,Государство Израиль,true,NO
IN,Республика Индия,true,NO
ID,Республика Индонезия,true,NO
JO,Иорданское Хашимитское Королевство,true,NO
IS,Республика Исландия,true,NO
ES,Королевство Испания,true,NO
IT,Итальянская Республика,true,NO
IQ,Республика Ирак,true,NO
IR,Исламская Республика Иран,true,NO
IE,Ирландия,true,NO
ZM,Республика Замбия,true,NO
ZW,Республика Зимбабве,true,NO
BS,Содружество Багамских Островов,true,NO
BD,Народная Республика Бангладеш,true,NO
BH,Королевство Бахрейн,true,NO
BB,Барбадос,true,NO
BY,Республика Беларусь,true,NO
BZ,Белиз,true,NO
BE,Королевство Бельгия,true,NO
BJ,Республика Бенин,true,NO
BG,Республика Болгария,true,NO
BO,Многонациональное Государство Боливия,true,NO
BA,Босния и Герцеговина,true,NO
BW,Республика Ботсвана,true,NO
BT,Королевство Бутан,true,NO
BF,Буркина-Фасо,true,NO
BI,Республика Бурунди,true,NO
BR,Федеративная Республика Бразилия,true,NO
BN,Бруней-Даруссалам,true,NO
VU,Республика Вануату,true,NO
HU,Венгрия,true,NO
VE,Боливарианская Республика Венесуэла,true,NO
VN,Социалистическая Республика Вьетнам,true,NO
GA,Габонская Республика,true,NO
HT,Республика Гаити,true,NO
GY,Кооперативная Республика Гайана,true,NO
GM,Республика Гамбия,true,NO
GH,Республика Гана,true,NO
GT,Республика Гватемала,true,NO
GN,Гвинейская Республика,true,NO
GW,Республика Гвинея-Бисау,true,NO
DE,Федеративная Республика Германия,true,NO
HN,Республика Гондурас,true,NO
GD,Гренада,true,NO
GR,Греческая Республика,true,NO
GE,Грузия,true,NO
DK,Королевство Дания,true,NO
CD,Демократическая Республика Конго,true,NO
DJ,Республика Джибути,true,NO
DM,Содружество Доминики,true,NO
DO,Доминиканская Республика,true,NO
EG,Арабская Республика Египет,true,NO
LA,Лаосская Народно-Демократическая Республика,true,NO
LV,Латвийская Республика,true,NO
LS,Королевство Лесото,true,NO
LR,Республика Либерия,true,NO
LB,Ливанская Республика,true,NO
LY,Государство Ливия,true,NO
LT,Литовская Республика,true,NO
LU,Великое Герцогство Люксембург,true,NO
YE,Йеменская Республика,true,NO
